Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Malaysia ,ASIA (EX. NEAR EAST)         ,"24,385,858","329,750",74.00,1.42,0.00,17.70,"9,000",88.70,179.00,5.48,17.61,76.91,2.00,22.86,5.05,84.00,0.48,436.00
Maldives ,ASIA (EX. NEAR EAST)         ,"359,008",300,"1,196.70",214.67,0.00,56.52,"3,900",97.20,90.00,13.33,16.67,70.00,2.00,34.81,7.06,0.20,0.18,0.62
Mali ,SUB-SAHARAN AFRICA                 ,"11,716,829","1,240,000",9.50,0.00,-0.33,116.79,900,46.40,6.40,3.82,0.03,96.15,2.00,49.82,16.89,0.45,0.17,0.38
Malta ,WESTERN EUROPE                     ,"400,214",316,"1,266.50",62.28,2.07,3.89,"17,700",92.80,505.00,28.13,3.13,68.74,,10.22,8.10,0.03,0.23,0.74
Marshall Islands ,OCEANIA                            ,"60,422","11,854",5.10,3.12,-6.04,29.45,"1,600",93.70,91.20,16.67,38.89,44.44,2.00,33.05,4.78,317.00,149.00,534.00
Martinique ,LATIN AMER. & CARIB    ,"436,131","1,100",396.50,31.82,-0.05,7.09,"14,400",97.70,394.40,10.38,9.43,80.19,2.00,13.74,6.48,0.06,0.11,0.83
Mauritania ,SUB-SAHARAN AFRICA                 ,"3,177,388","1,030,700",3.10,0.07,0.00,70.89,"1,800",41.70,12.90,0.48,0.01,99.51,1.00,40.99,12.16,0.25,0.29,0.46
Mauritius ,SUB-SAHARAN AFRICA                 ,"1,240,827","2,040",608.30,8.68,-0.90,15.03,"11,400",85.60,289.30,49.26,2.96,47.78,2.00,15.43,6.86,59.00,298.00,643.00
Mayotte ,SUB-SAHARAN AFRICA                 ,"201,234",374,538.10,49.52,6.78,62.40,"2,600",,49.70,,,,2.00,40.95,7.70,,,
Mexico ,LATIN AMER. & CARIB    ,"107,449,525","1,972,550",54.50,0.47,-4.87,20.91,"9,000",92.20,181.60,12.99,1.31,85.70,1.50,20.69,4.74,38.00,259.00,702.00
"Micronesia, Fed. St. ",OCEANIA                            ,"108,004",702,153.90,870.66,-20.99,30.21,"2,000",89.00,114.80,5.71,45.71,48.58,2.00,24.68,4.75,289.00,152.00,559.00
Moldova ,C.W. OF IND. STATES ,"4,466,706","33,843",132.00,0.00,-0.26,40.42,"1,800",99.10,208.10,55.30,10.79,33.91,,15.70,12.64,213.00,233.00,555.00
